paper_id,title,journal,year,doi,catalyst_type,catalyst_name,pollutant_category,pollutant_name,oxidant,mechanism_category,identified_species,dominant_species,removal_efficiency_pct,reaction_time_min,rate_constant,rate_constant_unit,reusability_cycles,key_active_sites,is_photo_assisted,is_electrochemical
6PPD-quinone-degradation-by-unactivated-peroxymonosulfat_2025_Chemical-Engin,6PPD-quinone degradation by unactivated peroxymonosulfate via direct oxidation and enhanced generation of 1O2,,2025,10.1016/j.cej.2025.159307,,,Other,"N-(1,3-dimethylbutyl)-N'-phenyl-p-phenylenediamine-quinone",PMS,Non-radical,1O2,1O2,95.0,180,0.0171,min-1,,N atoms,False,False
A--honeycomb--heterostructured---MnO2-nanowire-NiCo2O4-h_2025_Journal-of-Wat,A “honeycomb” heterostructured α-MnO2 nanowire/NiCo2O4 hollow nanocages with superior photoelectrocatalytic performance for water purification,,2025,10.1016/j.jwpe.2025.107521,Metal oxide,Ti/α-MnO₂@NiCo₂O₄-30,Antibiotic,sulfamethoxazole,PMS,Radical,•O2−; 1O2; h+,,98.18,30,,min-1,5,,True,True
Activation-of-peroxymonosulfate-for-enhanced-antibiotic-rem_2025_Journal-of-,Activation of peroxymonosulfate for enhanced antibiotic removal using OVs-Co3O4/Fe2O3: Synergistic modulation of heterostructure and oxygen vacancy,Journal of Hazardous Materials,2025,10.1016/j.jhazmat.2025.139416,Metal oxide,7OVs-Co3O4/Fe2O3 (1:1),Antibiotic,tetracycline,PMS,Radical,SO4•−; •OH; 1O2; O2•−,SO4•−,99.9,30,0.1883,min-1,5,oxygen vacancies; Co(II); Fe(III),False,False
Activation-of-sulfite-with-cationic-vacancy-enriched_2025_Journal-of-Water-P,Activation of sulfite with cationic vacancy-enriched Co3O4 for highly efficient tetracycline abatement,,2025,10.1016/j.jwpe.2025.109074,Metal oxide,Co3O4-Vc,Antibiotic,tetracycline,sulfite,Radical,SO4•−; •OH; SO3•−,SO4•−,100,10,,min-1,3,>Co(II); >Co(III); cationic vacancies,False,False
Application-of-an-effective-catalyst-derived-from-N-doped-_2025_Journal-of-W,Application of an effective catalyst derived from N-doped bimetallic metal-organic frameworks in boosting performance of peroxymonosulfate-based Fenton-like reaction,,2025,10.1016/j.jwpe.2025.107803,MOF-derived,Fe/Co-MCN7-500,Dye,methylene blue,PMS,Both,SO4•−; •OH; 1O2; O2•−,1O2,100,30,,min-1,5,CoFe2O4; Co3Fe7; graphitic N; Fe2+; Co2+,False,False
Aqueous-phase-room-temperature-synthesis-of-2D-CuCo-BD_2025_Journal-of-Hazar,Aqueous-phase room-temperature synthesis of 2D CuCo-BDC for superior peroxymonosulfate activation,Journal of Hazardous Materials,2025,10.1016/j.jhazmat.2025.138840,MOF-derived,CuCo-BDC,Pharmaceutical,naproxen,PMS,Both,SO4•−; O2•−; 1O2,,100,20,0.289,min-1,4,Cu(I); Cu(II); Co(II),False,False
Architecture-engineered-Fe-O--MnO--composite-for-peroxy_2025_Journal-of-Wate,Architecture-engineered Fe₃O₄-MnO₂ composite for peroxydisulfate activation: Visible light-enhanced redox cycling mechanism,,2025,10.1016/j.jwpe.2025.108963,Metal oxide,FM-21 (Fe₃O₄-MnO₂),Dye,Orange II,PS,Both,SO4•−; •OH; 1O2; O2•−; h+,1O2 and h+,96.5,60,0.0596,min-1,5,Fe3+/Fe2+ redox pair; Mn4+/Mn3+ redox pair; Z-scheme heterojunction interface,True,False
Asymmetrically-oxygen-vacancy-enriched-CuO-Co3O4-x-composite_2025_Journal-of,Asymmetrically oxygen-vacancy-enriched CuO/Co3O4− x composite for enhanced peroxymonosulfate activation: Mechanistic insights into radical-nonradical synergy for tetracycline degradation,Journal of Alloys and Compounds,2025,10.1016/j.jallcom.2025.185074,Metal oxide,OVs-CuO/Co3O4-x,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; 1O2; O2•−,1O2,98,30,0.234,min-1,5,asymmetric oxygen vacancies (As-OVs); interfacial Co-Cu sites; Co2+/Co3+ redox couple; Cu+/Cu2+ redox couple,False,False
Axial-pyridine-coordination-induced-Co-d-orbital-rearra_2026_Applied-Catalys,Axial pyridine coordination-induced Co d-orbital rearrangement boosts peroxymonosulfate activation for singlet oxygen evolution in water remediation,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125873,SAC,CoPc-Py-CNT,Antibiotic,ciprofloxacin,PMS,Non-radical,1O2,1O2,100,10,0.4671,min-1,5,Co-N5 axial coordination site,False,False
Bimetallic-Fe-Mn-MOFs-derivatives-loaded-on-biochar-for-acti_2025_Journal-of,Bimetallic Fe/Mn MOFs derivatives loaded on biochar for activated peroxydisulfate in degradation of sulfamethoxazole: Fe-Mn bonding promotes non-radical pathway transitions,,2025,10.1016/j.jhazmat.2025.140196,MOF-derived,Fe₃Mn₁-MOF-derivatives@BC,Antibiotic,sulfamethoxazole,PDS,Non-radical,1O2; O2•−,1O2,96.5,10,0.52,min-1,5,Fe–Mn bonding interface; Fe₃O₄/Mn₃O₄ heterostructure; biochar conductive network,False,False
