id,title,authors,year,journal,doi
P001,α-Fe2O3 mediated periodate activation for selective degradation of phenolic compounds via electron transfer pathway under visible irradiation,,2023,Journal of Hazardous Materials,10.1016/j.jhazmat.2023.131506
P002,2D/2D α-Fe2O3/single-layer MXene Schottky photocatalysis-PMS activation bidirectionally enhanced coupling system for environmental remediation,,2023,Journal of Alloys and Compounds,10.1016/j.jallcom.2023.168920
P003,2D MOF derived cobalt and nitrogen-doped ultrathin oxygen-rich carbon nanosheets for efficient Fenton-like catalysis: Tuning effect of oxygen functional groups in close vicinity to Co-N sites,,2022,Journal of Hazardous Materials,10.1016/j.jhazmat.2022.130345
P004,2D confinement freestanding graphene oxide composite membranes with enriched oxygen vacancies for enhanced organic contaminants removal via peroxymonosulfate activation,,2021,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.126028
P005,6PPD-quinone degradation by unactivated peroxymonosulfate via direct oxidation and enhanced generation of 1O2,,2025,,10.1016/j.cej.2025.159307
P006,A “honeycomb” heterostructured α-MnO2 nanowire/NiCo2O4 hollow nanocages with superior photoelectrocatalytic performance for water purification,,2025,,10.1016/j.jwpe.2025.107521
P007,"A comparison study of levofloxacin degradation by peroxymonosulfate and permanganate: Kinetics, products and effect of quinone group",,2020,Journal of Hazardous Materials,10.1016/j.jhazmat.2020.123834
P008,A confined expansion pore-making strategy to transform Zn-MOF to porous carbon nanofiber for water treatment: Insight into formation and degradation mechanism,,2023,,10.1016/j.jcis.2023.08.017
P009,A highly-efficient peroxymonosulfate activator using a sewage sludge derived biochar supported cobalt oxide: Mechanism and characteristics,,2024,,10.1016/j.psep.2024.11.006
P010,A hydrothermal-assisted strategy to transform Fe-doped MOF into 3D interwoven network structure of CNTs boosting the degradation of antibiotics via peroxymonosulfate activation,,2024,,10.1016/j.jece.2024.113644
P011,"A novel magnetic Fe, N co-doped Ce-MOFs derived carbon as a peroxymonosulfate activator for the degradation of tetracycline hydrochloride: Performance and activation mechanism",,2024,,10.1016/j.jwpe.2024.105219
P012,A review of radical and non-radical degradation of amoxicilin by using different oxidation process systems,,2022,,
P013,A review on superior advanced oxidation and photocatalytic degradation techniques for perfluorooctanoic acid (PFOA) elimination from wastewater,,2023,,
P014,A single-atom Fe-N-C catalyst with superior Fenton-like reaction performance prepared facilely using microalgae: Key roles of oxygen and interactions between Fe-Nx and Fe/Fe compounds,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.123135
P015,Accelerated radical generation from visible light driven peroxymonosulfate activation by Bi2MoO6/doped gCN S-scheme heterojunction towards Amoxicillin mineralization: Elucidation of the degradation mechanism,,2023,Journal of Hazardous Materials,10.1016/j.jhazmat.2023.131102
P016,Accelerated sulfate radical generation from peroxymonosulfate by ZIF-67-derived Co3O4 encapsulated in g-C3N4: A gift from in situ growth,,2023,Chemical Engineering Journal,10.1016/j.cej.2023.141797
P017,Accelerating radical generation from peroxymonosulfate by confined variable Co species toward ciprofloxacin mineralization: ROs quantification and mechanisms elucidation,,2022,Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.121542
P018,Accelerating the peroxymonosulfate activation and charge transfer by construction of Fermi energy level-matched CoWO4/g-C3N4 photocatalyst for typical antibiotics degradation,,2022,,10.1016/j.seppur.2022.122020
P019,Activating peroxymonosulfate for efficient degradation of oxytetracycline by regulating the conversion of the metal active site to the low valence state via calcination,,2024,,10.1016/j.jece.2024.114804
P020,Activating peroxymonosulfate with MOF-derived NiO-NiCo2O4/titanium membrane for water treatment: A non-radical dominated oxidation mechanism,,2024,,10.1016/j.jcis.2024.07.195
P021,Activation of Z-scheme heterojunction of peroxymonosulfate for augmented visible-light-induced photocatalytic decomposition of tetracycline and enhanced antimicrobial efficacy with O-doped g-C3N4@Co3O4,,2024,,10.1016/j.seppur.2024.126307
P022,Activation of peroxymonosulfate (PMS) by Co3O4 quantum dots decorated hierarchical C@Co3O4 for degradation of organic pollutants: Kinetics and radical-nonradical cooperation mechanisms,,2022,,
